,Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,price
119,The Christmas book of legends & stories,,,,,,,,,,48.23
120,Franchise Bible : How to Buy a Franchise or Franchise Your Own (The Successful Business Library),"The author, a franchise attorney, developed this up-to-date guide for prospective franchises, or for those who want to franchise their own business. Details what the franchise system entails and the precise benefits from it. Includes sample documents, such as the latest FTC-approved offering circular, plus worksheets for evaluating franchise companies, locations, and organizing information before seeing an attorney.",['Erwin J. Keup'],http://books.google.com/books/content?id=VlTyAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=VlTyAAAAMAAJ&q=Franchise+Bible+:+How+to+Buy+a+Franchise+or+Franchise+Your+Own+(The+Successful+Business+Library)&dq=Franchise+Bible+:+How+to+Buy+a+Franchise+or+Franchise+Your+Own+(The+Successful+Business+Library)&hl=&cd=1&source=gbs_api,Oasis Press,1995,http://books.google.com/books?id=VlTyAAAAMAAJ&dq=Franchise+Bible+:+How+to+Buy+a+Franchise+or+Franchise+Your+Own+(The+Successful+Business+Library)&hl=&source=gbs_api,['Business & Economics'],,49.18
121,RUFF,"Ruff Guide to the United States features 365 of the BEST places to stay and play with your dog in all 50 states. Whether your pooch prefers to 'ruff it' on a hiking adventure or sit in the lap of luxury at a five-star resort, the assortment of trips in this book is sure to have him (and you) begging for a vacation!",['Melissa Halliburton'],http://books.google.com/books/content?id=aw7hoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=aw7hoAEACAAJ&dq=RUFF&hl=&cd=1&source=gbs_api,Kendall Media,2014-05-06,http://books.google.com/books?id=aw7hoAEACAAJ&dq=RUFF&hl=&source=gbs_api,['Travel with dogs'],,21.02
122,THE SONG IN THE GREEN THORN TREE.,,['James Barke'],,http://books.google.com/books?id=JWMBzwEACAAJ&dq=THE+SONG+IN+THE+GREEN+THORN+TREE.&hl=&cd=1&source=gbs_api,,1947,http://books.google.com/books?id=JWMBzwEACAAJ&dq=THE+SONG+IN+THE+GREEN+THORN+TREE.&hl=&source=gbs_api,,,66.78
123,The Official Book of Hanjie,"Hanjie (pronounced Han-JEA to rhyme with ninja) is the massively popular Japanese puzzle craze. Number clues and simple logic lead you to fill in some boxes while leaving others blank. If you fill in the boxes correctly, a picture will emerge! This game is perfect for anyone addicted to Sudoku and looking for a new challenge. Puzzle master Timothy E. Parker, named by Guinness World Records as “the world’s most syndicated puzzle compiler,” provides instructions and 100 mind-bending puzzles ranging from easy to medium to hard. The harder the puzzle, the more subtle and beautiful the resulting picture will be. How to Play: The numbers tell you the sequence of black squares you must fill in. Each group of black squares is separated by at least one white (empty) square. Successfully completing the puzzle will reveal a surprising picture.",['Timothy E. Parker'],http://books.google.com/books/content?id=9ZGIgfNIfvYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=9ZGIgfNIfvYC&printsec=frontcover&dq=The+Official+Book+of+Hanjie&hl=&cd=1&source=gbs_api,Penguin,2006-08-09,http://books.google.com/books?id=9ZGIgfNIfvYC&dq=The+Official+Book+of+Hanjie&hl=&source=gbs_api,['Games & Activities'],,16.43
124,Admission to the feast (Laurel-leaf library),,['Gunnel Beckman'],,http://books.google.com/books?id=TiS2swEACAAJ&dq=Admission+to+the+feast+(Laurel-leaf+library)&hl=&cd=1&source=gbs_api,,1978,http://books.google.com/books?id=TiS2swEACAAJ&dq=Admission+to+the+feast+(Laurel-leaf+library)&hl=&source=gbs_api,['Death'],,44.41
125,Mao's Harvest: Voices from China's New Generation,,,,,,,,,,99.01
126,Tristia (Bibliotheca scriptorum Graecorum et Romanorum Teubneriana) (Latin Edition),,,,,,,,,,20.18
127,Build It Right! What to Look for in Your New Home,"A guide for buyers of custom-built homes reveals common problems in home design, relates how to create a user-friendly home, and discusses how to get the best out of a builder or contractor",['Myron E. Ferguson'],http://books.google.com/books/content?id=wWPZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=wWPZAAAAMAAJ&dq=Build+It+Right!+What+to+Look+for+in+Your+New+Home&hl=&cd=1&source=gbs_api,,1997,http://books.google.com/books?id=wWPZAAAAMAAJ&dq=Build+It+Right!+What+to+Look+for+in+Your+New+Home&hl=&source=gbs_api,['House & Home'],1.0,24.95
128,"Dimensional Flowers, Leaves & Vines",,['Barbara L. Grainger'],,"http://books.google.com/books?id=qHQaPQAACAAJ&dq=Dimensional+Flowers,+Leaves&hl=&cd=1&source=gbs_api",Barbara L Grainger,2000,"http://books.google.com/books?id=qHQaPQAACAAJ&dq=Dimensional+Flowers,+Leaves&hl=&source=gbs_api",['Beadwork'],,34.81
